"cid","cmpdname","cmpdsynonym","mw","mf","polararea","complexity","xlogp","heavycnt","hbonddonor","hbondacc","rotbonds","inchi","isosmiles","inchikey","iupacname","meshheadings","annothits","annothitcnt","aids","cidcdate","sidsrcname","depcatg","annotation"
5984,"D-(-)-Fructose","D-(-)-Fructose|57-48-7|(3S,4R,5R)-1,3,4,5,6-pentahydroxyhexan-2-one|D(-)-Fructose|D-(-)-Levulose|D-Levulose|keto-D-fructose|30237-26-4|UNII-6YSS42VSEV|MFCD00148910|6YSS42VSEV|D-fructose (open structure)|DL-Fructose|Furucton|Nevulose|arabino-Hexulose|Sugar, fruit|D(-)-Fructose, 99%|Fructon|Fructose, D-|Krystar 300|Hi-Fructo 970|D-(-)-Fructose, >=99%|Levulosa|Methose|Levulosa Baxter|Levulosa Braun|Apir Levulosa|Levulosa Ibys|Levulosa Mein|Levulosa Ife|Fructose, pure|Levulosa Grifols|Levulosado Braun|Fructose solution|Levulosa, Apir|Levulosado Vitulia|Fleboplast Levulosa|arabino-2-Hexulose|Advantose FS 95|D-(-)fructose|Levulosa, Fleboplast|(+-)-Fructose|CCRIS 3335|Fructose [USP:JAN]|Levulosado Bieffe Medit|Plast Apyr Levulosa Mein|EINECS 200-333-3|D(-)-Fructose, specified according the requirements of USP|Laevulosum|Fructosum|fructose group|fru-ring|AI3-23514|D-fructose-ring|D-fructose group|Fructose-1P|Fructose (VAN)|Fructose,(S)|FUD|Fructon (TN)|D-Fructose,(S)|S(-)-Fructose|pentahydroxyhexan-2-one|D-(-)-Fructose, LR|Fructose (JP17/USP)|SCHEMBL3965|D-(-)-Fructose, BioXtra|D-(-)-Fructose, puriss.|GTPL4654|DTXSID5023081|CHEBI:48095|(-)-D-Arabino-hex-2-ulopyranose|139686-85-4|HY-N7092|ZINC1532049|7541AB|ANW-32731|s5176|1,3,4,5,6-Pentahydroxyhex-2-one|AKOS015901521|K318|CS-0008532|C10906|D-(-)-Fructose, for microbiology, >=99.0%|D-(-)-Fructose, tested according to Ph.Eur.|D00114|15495-EP2270012A1|15495-EP2270013A1|15495-EP2272834A1|15495-EP2275420A1|15495-EP2277877A1|15495-EP2277880A1|15495-EP2277881A1|15495-EP2280008A2|15495-EP2281823A2|15495-EP2283811A1|15495-EP2286812A1|15495-EP2287147A2|15495-EP2289509A2|15495-EP2289879A1|15495-EP2289893A1|15495-EP2292234A1|15495-EP2292610A1|15495-EP2292630A1|15495-EP2295430A2|15495-EP2295431A2|15495-EP2295434A2|15495-EP2298728A1|15495-EP2298764A1|15495-EP2298765A1|15495-EP2298779A1|15495-EP2301533A1|15495-EP2301919A1|15495-EP2301929A1|15495-EP2301935A1|15495-EP2301938A1|15495-EP2301940A1|15495-EP2305254A1|15495-EP2305257A1|15495-EP2305674A1|15495-EP2305681A1|15495-EP2305683A1|15495-EP2305825A1|15495-EP2308857A1|15495-EP2311821A1|15495-EP2311838A1|15495-EP2311839A1|15495-EP2311842A2|15495-EP2314584A1|15495-EP2314589A1|15495-EP2316837A1|15495-EP2371802A1|15495-EP2371811A2|15495-EP2374895A1|78088-EP2272846A1|78088-EP2277868A1|78088-EP2277869A1|78088-EP2277870A1|78088-EP2308866A1|78088-EP2374791A1|136037-EP2277880A1|136037-EP2292610A1|D-(-)-Fructose, BioUltra, >=99.0% (HPLC)|D-(-)-Fructose, meets USP testing specifications|D-(-)-Fructose, SAJ special grade, >=98.0%|Q122043|(3S,4R,5R)-1,3,4,5,6-|DFA8C62B-E34B-4603-A548-F6A8D25645DD|Fructose, European Pharmacopoeia (EP) Reference Standard|rel-(3S,4R,5R)-1,3,4,5,6-Pentahydroxyhexan-2-one|(3S,4R,5R)-1,3,4,5,6-pentakis(oxidanyl)hexan-2-one|UNII-02T79V874P component BJHIKXHVCXFQLS-UYFOZJQFSA-N|Fructose, United States Pharmacopeia (USP) Reference Standard|D-(-)-Fructose, meets analytical specification of Ph.??Eur., BP|Fructose, Pharmaceutical Secondary Standard; Certified Reference Material|D-(-)-Fructose, BioReagent, suitable for cell culture, suitable for insect cell culture|D-(-)-Fructose, analytical standard, analytical standard for fructose assay kit, for use with enzymatic assay kit FA20",180.160,"C6H12O6",118.000,147.000,-3.200,12,5,6,5,"InChI=1S/C6H12O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3,5-9,11-12H,1-2H2/t3-,5-,6-/m1/s1","C([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)O","BJHIKXHVCXFQLS-UYFOZJQFSA-N","(3S,4R,5R)-1,3,4,5,6-pentahydroxyhexan-2-one","Fructose","Biological Test Results|Biomolecular Interactions and Pathways|Chemical and Physical Properties|Classification|Food Additives and Ingredients|Literature|Names and Identifiers|Patents|Pharmacology and Biochemistry|Toxicity|Use and Manufacturing",11,"1259410,1259411",20040916,"3B Scientific (Wuhan) Corp|A&J Pharmtech CO., LTD.|AA BLOCKS|AAA Chemistry|Aaron Chemicals LLC|AbaChemScene|abcr GmbH|ABI Chem|Achemtek|Acros Organics|AHH Chemical co.,ltd|AK Scientific, Inc. (AKSCI)|AKos Consulting & Solutions|Alfa Aesar|Alfa Chemistry|Alichem|Ambeed|Ambinter|Angene Chemical|Anward|Aurora Fine Chemicals LLC|BePharm Ltd.|BioCyc|BLD Pharm|BOC Sciences|Broad Institute|ChEBI|Chem-Space.com Database|Chembase.cn|Chemhere|Chemical Carcinogenesis Research Information System (CCRIS)|ChemIDplus|Chemieliva Pharmaceutical Co., Ltd|ChemMol|ChemSpider|ChemTik|Chiralblock Biosciences|Collaborative Drug Discovery, Inc.|Combi-Blocks|Comparative Toxicogenomics Database (CTD)|DC Chemicals|DiscoveryGate|Egon Willighagen (Dept. of Bioinformatics - BiGCaT, Maastricht University)|eNovation Chemicals|EPA DSSTox|EPA Substance Registry Services|FDA/SPL Indexing Data|Founder Pharma|Glentham Life Sciences Ltd.|Golm Metabolome Database (GMD), Max Planck Institute of Molecular Plant Physiology|Google Patents|Hairui Chemical|Human Metabolome Database (HMDB)|iChemical Technology USA Inc|ISpharm|IUPHAR/BPS Guide to PHARMACOLOGY|Japan Chemical Substance Dictionary (Nikkaji)|KEGG|Key Organics/BIONET|King Scientific|LabNetwork, a WuXi AppTec Company|labseeker|Lan Pharmatech|LeadScope|MassBank Europe|MassBank of North America (MoNA)|Matrix Scientific|MedChemexpress MCE|MetabolomicsWorkbench|Molepedia|MolPort|MuseChem|NCBI Structure|NextBio|NextMove Software|NORMAN Suspect List Exchange|Norris Pharm|NovoSeek|Oakwood Products|OXCHEM CORPORATION|Parchem|PATENTSCOPE (WIPO)|Phion Ltd|Protein Data Bank in Europe (PDBe)|R&D Chemicals|SCRIPDB|Selleck Chemicals|Sigma-Aldrich|SLING Consortium|Smolecule|Springer Nature|SpringerMaterials|SureChEMBL|Syntree|TCI (Tokyo Chemical Industry)|THE BioTek|Therapeutic Target Database (TTD)|Thieme Chemistry|Thomson Pharma|ToxPlanet|Tractus|VladaChem|VWR, Part of Avantor|West Coast Metabolomics Center-UC Davis|Wikidata|Wiley|Wilshire Technologies|Win-Win Chemical|Wubei-Biochem|Wutech|Yuhao Chemical|ZINC","Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|NIH Initiatives|Research and Development|Subscription Services",""
2723872,"D-Fructose","D-Arabino-Hex-2-ulo-Pyranose|D-Fru|D-Fructopyranose|D-Fructopyranoside|D-Fructose|Fru|Fructopyranose|Fructopyranoside|Fructose|CHEBI:37714|6347-01-9|[14C]-Fructose|D-arabino-Hex-2-ulopyranose|SCHEMBL239448|CHEMBL2325229|CTK2F9011|AKOS004910390|F0317|C05003|Q27117234|EB37038E-44A6-4AF7-B0D8-47A315AD2F74|(3S,4R,5R)-2-(hydroxymethyl)tetrahydro-2H-pyran-2,3,4,5-tetraol",180.160,"C6H12O6",110.000,162.000,-2.800,12,5,6,1,"InChI=1S/C6H12O6/c7-2-6(11)5(10)4(9)3(8)1-12-6/h3-5,7-11H,1-2H2/t3-,4-,5+,6?/m1/s1","C1[C@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O","LKDRXBCSQODPBY-VRPWFDPXSA-N","(3S,4R,5R)-2-(hydroxymethyl)oxane-2,3,4,5-tetrol","Fructose","Agrochemical Information|Biological Test Results|Biomolecular Interactions and Pathways|Chemical and Physical Properties|Classification|Drug and Medication Information|Identification|Literature|Names and Identifiers|Patents|Pharmacology and Biochemistry|Safety and Hazards|Toxicity|Use and Manufacturing",14,"728618,728620,728624",20050719,"3B Scientific (Wuhan) Corp|ABI Chem|AKos Consulting & Solutions|BioCyc|BLD Pharm|CCSbase|ChEBI|ChEMBL|ChemExper Chemical Directory|ChemSpider|ChemTik|DiscoveryGate|DrugCentral|Egon Willighagen (Dept. of Bioinformatics - BiGCaT, Maastricht University)|eNovation Chemicals|Essentials of Glycobiology, 3rd edition|Golm Metabolome Database (GMD), Max Planck Institute of Molecular Plant Physiology|Google Patents|IBM|Japan Chemical Substance Dictionary (Nikkaji)|KEGG|LabNetwork, a WuXi AppTec Company|MetabolomicsWorkbench|MolMall|NextBio|NextMove Software|NovoSeek|PATENTSCOPE (WIPO)|SCRIPDB|Springer Nature|SureChEMBL|TCI (Tokyo Chemical Industry)|Thieme Chemistry|Thomson Pharma|Tractus|Wikidata","Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|NIH Initiatives|Research and Development|Subscription Services","COVID-19, COVID19, Coronavirus, Corona-virus, SARS, SARS2, SARS-CoV, SARS-CoV-2 [as per COVID-19 Disease Map]"
65246,"Fructose-1-phosphate","fructose-1-phosphate|15978-08-2|D-Fructose 1-phosphate|1-O-phosphono-D-fructose|keto-D-fructose 1-phosphate|D-fructose 1-(dihydrogen phosphate)|D-Fructose, 1-(dihydrogen phosphate)|[(3S,4R,5R)-3,4,5,6-tetrahydroxy-2-oxohexyl] dihydrogen phosphate|D-Fructose-1-phosphate disodium salt|EINECS 240-113-4|beta-D-fructose-1-P|Fructose-1-monophosphate|beta-D-fructose-1-phosphate|SCHEMBL24438|D-Fructose 1-phosphoric acid|CHEBI:18105|DTXSID20891553|Fructose, 1-(dihydrogen phosphate)|ZINC18140538|D-Fructose, 1-(dihydrogen phosphate) (9CI)|90063-EP2272834A1|90063-EP2298779A1|90063-EP2301929A1|90063-EP2301935A1|90063-EP2305674A1|Fructose, 1-(dihydrogen phosphate), D- (8CI)|Q982755|W-203611",260.140,"C6H13O9P",165.000,273.000,-4.300,16,6,9,7,"InChI=1S/C6H13O9P/c7-1-3(8)5(10)6(11)4(9)2-15-16(12,13)14/h3,5-8,10-11H,1-2H2,(H2,12,13,14)/t3-,5-,6-/m1/s1","C([C@H]([C@H]([C@@H](C(=O)COP(=O)(O)O)O)O)O)O","ZKLLSNQJRLJIGT-UYFOZJQFSA-N","[(3S,4R,5R)-3,4,5,6-tetrahydroxy-2-oxohexyl] dihydrogen phosphate","","Biomolecular Interactions and Pathways|Chemical and Physical Properties|Classification|Literature|Names and Identifiers|Patents|Pharmacology and Biochemistry|Use and Manufacturing",8,"",20040916,"AAA Chemistry|ABI Chem|AHH Chemical co.,ltd|Alfa Chemistry|BIND|BioCyc|Biosynth Carbosynth|BLD Pharm|CCSbase|ChEBI|Chembase.cn|ChemIDplus|Chemieliva Pharmaceutical Co., Ltd|ChemMol|ChemSpider|ChemTik|Collaborative Drug Discovery, Inc.|Comparative Toxicogenomics Database (CTD)|DiscoveryGate|Egon Willighagen (Dept. of Bioinformatics - BiGCaT, Maastricht University)|EPA DSSTox|Glentham Life Sciences Ltd.|Google Patents|Human Metabolome Database (HMDB)|IBM|iChemical Technology USA Inc|ISpharm|Japan Chemical Substance Dictionary (Nikkaji)|MassBank Europe|MassBank of North America (MoNA)|MetabolomicsWorkbench|MolPort|MuseChem|NextBio|NORMAN Suspect List Exchange|NovoSeek|PATENTSCOPE (WIPO)|Phion Ltd|SLING Consortium|Smolecule|Springer Nature|SureChEMBL|THE BioTek|Thomson Pharma|ToxPlanet|Wikidata|WikiPathways|ZINC","Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|NIH Initiatives|Research and Development|Subscription Services",""
105021,"Fructose-2,6-diphosphate","Fructose 2,6-diphosphate|Fructose 2,6-biphosphate|Fructose-2,6-diphosphate|D-Fructose 2,6-bisphosphate|Phosphofructokinase activator|beta-D-fructose 2,6-bisphosphate|Phosphofructokinase activation factor|Fructose 2,6-bisphosphate|79082-92-1|beta-D-Fructofuranose, 2,6-bis(dihydrogen phosphate)|2,6-di-O-phosphono-beta-D-fructofuranose|beta-D-fructofuranose 2,6-bisphosphate|bmse000275|SCHEMBL504427|b-D-fructose 2,6-bisphosphate|CHEBI:28602|DTXSID90897603|ZINC4228295|CS-7888|Fru 2,6-P2, Fructose 2,6-diphosphate|HY-12314|C00665|b-D-Fructofuranose, 2,6-bis(dihydrogen phosphate)|beta-D-fructofuranose 2,6-bis(dihydrogen phosphate)|{[(2R,3S,4S,5S)-3,4-dihydroxy-5-(hydroxymethyl)-5-(phosphonooxy)oxolan-2-yl]methoxy}phosphonic acid",340.120,"C6H14O12P2",203.000,428.000,-5.000,20,7,12,6,"InChI=1S/C6H14O12P2/c7-2-6(18-20(13,14)15)5(9)4(8)3(17-6)1-16-19(10,11)12/h3-5,7-9H,1-2H2,(H2,10,11,12)(H2,13,14,15)/t3-,4-,5+,6+/m1/s1","C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)OP(=O)(O)O)O)O)OP(=O)(O)O","YXWOAJXNVLXPMU-ZXXMMSQZSA-N","[(2S,3S,4S,5R)-3,4-dihydroxy-2-(hydroxymethyl)-5-(phosphonooxymethyl)oxolan-2-yl] dihydrogen phosphate","","Biomolecular Interactions and Pathways|Chemical and Physical Properties|Classification|Literature|Names and Identifiers|Patents|Pharmacology and Biochemistry",7,"",20050624,"3B Scientific (Wuhan) Corp|A&J Pharmtech CO., LTD.|AAA Chemistry|AbaChemScene|ABI Chem|Achemtek|Alfa Chemistry|Alichem|Ambeed|Ambinter|BioCyc|Biological Magnetic Resonance Data Bank (BMRB)|BLD Pharm|ChEBI|Chem-Space.com Database|ChemIDplus|Chemieliva Pharmaceutical Co., Ltd|ChemSpider|Comparative Toxicogenomics Database (CTD)|DiscoveryGate|Egon Willighagen (Dept. of Bioinformatics - BiGCaT, Maastricht University)|eNovation Chemicals|EPA DSSTox|Founder Pharma|Google Patents|Human Metabolome Database (HMDB)|IBM|iChemical Technology USA Inc|Japan Chemical Substance Dictionary (Nikkaji)|KEGG|MassBank Europe|MassBank of North America (MoNA)|MedChemexpress MCE|MetabolomicsWorkbench|Molepedia|MolPort|MuseChem|NCBI Structure|NextBio|NovoSeek|PATENTSCOPE (WIPO)|Protein Data Bank in Europe (PDBe)|SMID|Springer Nature|SureChEMBL|Syntree|Thomson Pharma|ToxPlanet|Wikidata|ZINC","Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|NIH Initiatives|Research and Development|Subscription Services",""
10267,"beta-Fructose-1,6-Diphosphate","beta-D-Fructose 1,6-bisphosphate|1,6-di-O-phosphono-beta-D-fructofuranose|fructose-1,6-diphosphate|beta-D-fructofuranose 1,6-bisphosphate|CHEBI:28013|fructose-1,6-bisphosphate|D-fructose-1,6-diphosphate|beta-D-fructofuranose 1,6-bis(dihydrogen phosphate)|Beta-Fructose-1,6-Diphosphate|beta-D-fructofuranose 1,6-bisphosphate (RSSR closed ring)|FBP|488-69-7|fructose bisphosphate|NCGC00166321-01|CPC-111|BETA FRUCTOSE 1,6-DIPHOSPHATE|1bo5|bmse000011|UNII-WCH874XLB1|WCH874XLB1|CHEMBL97893|SCHEMBL168244|DTXSID0048347|beta-D-Fructose-1,6-diphosphate|ZINC4096694|EINECS 251-977-7|DB04551|C05378|Q414945|beta-D-fructofuranose, 1,6-bis(dihydrogen phosphate)|16EB39BB-B854-429F-972F-0D8401178A36|34693-15-7",340.120,"C6H14O12P2",203.000,428.000,-5.600,20,7,12,6,"InChI=1S/C6H14O12P2/c7-4-3(1-16-19(10,11)12)18-6(9,5(4)8)2-17-20(13,14)15/h3-5,7-9H,1-2H2,(H2,10,11,12)(H2,13,14,15)/t3-,4-,5+,6-/m1/s1","C([C@@H]1[C@H]([C@@H]([C@](O1)(COP(=O)(O)O)O)O)O)OP(=O)(O)O","RNBGYGVWRKECFJ-ARQDHWQXSA-N","[(2R,3S,4S,5R)-2,3,4-trihydroxy-5-(phosphonooxymethyl)oxolan-2-yl]methyl dihydrogen phosphate","","Biological Test Results|Biomolecular Interactions and Pathways|Chemical and Physical Properties|Classification|Literature|Names and Identifiers|Patents|Pharmacology and Biochemistry|Use and Manufacturing|Biological Test Results: Active",10,"1469,1471,1479,1490,1688,1766,1768,1811,2528,2546,2551,2662,30432,68937,68940,68943,227718,485290,492961,504327,504332,504749,504832,504834,504847,504865,588579,602332,624030,624031,624032,624044,624170,624172,624173,624296,624297,977610",20040916,"3B Scientific (Wuhan) Corp|AAA Chemistry|ABI Chem|AHH Chemical co.,ltd|AK Scientific, Inc. (AKSCI)|Ambinter|AN PharmaTech|Aurora Fine Chemicals LLC|BIND|BioCyc|Biological Magnetic Resonance Data Bank (BMRB)|Biosynth Carbosynth|CCSbase|ChEBI|Chembase.cn|ChEMBL|ChemExper Chemical Directory|ChemIDplus|ChemMol|ChemSpider|DiscoveryGate|DrugBank|ECI Group, LCSB, University of Luxembourg|Egon Willighagen (Dept. of Bioinformatics - BiGCaT, Maastricht University)|EPA DSSTox|FDA/SPL Indexing Data|GlyTouCan Project|Golm Metabolome Database (GMD), Max Planck Institute of Molecular Plant Physiology|Google Patents|IBM|Japan Chemical Substance Dictionary (Nikkaji)|KEGG|LeadScope|MassBank of North America (MoNA)|MetabolomicsWorkbench|National Center for Advancing Translational Sciences (NCATS)|NCBI Structure|NextBio|NIST Mass Spectrometry Data Center|NORMAN Suspect List Exchange|NovoSeek|PATENTSCOPE (WIPO)|Pi Chemicals|Protein Data Bank in Europe (PDBe)|Shanghai Institute of Organic Chemistry|Sigma-Aldrich|SMID|Springer Nature|SureChEMBL|THE BioTek|Thomson Pharma|Tox21|ToxPlanet|Wikidata|WikiPathways|Wiley|ZINC","Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|NIH Initiatives|Research and Development|Subscription Services",""
10400369,"Fructose 1-phosphate","Fructose 1-phosphate|1-O-Phosphono-Beta-D-Fructofuranose|{[(2R,3S,4S,5R)-2,3,4-trihydroxy-5-(hydroxymethyl)oxolan-2-yl]methoxy}phosphonic acid|D-fructose-1-phosphate|D-fructose-1-P|beta-fructose 1-phosphate|CHEMBL605021|CHEBI:139419|ZINC4095539|beta-D-Fructofuranose 1-phosphoric acid|beta-D-fructofuranose 1-(dihydrogen phosphate)|Q27460118|[(2R,3S,4S,5R)-2,3,4-trihydroxy-5-(hydroxymethyl)oxolan-2-yl]methyl dihydrogen phosphate|beta D-Fructose 1-phosphate; 1-O-phosphono-beta-D-fructose; 1-O-phosphono-D-fructose; 1-O-phosphono-fructose|F1X",260.140,"C6H13O9P",157.000,290.000,-3.900,16,6,9,4,"InChI=1S/C6H13O9P/c7-1-3-4(8)5(9)6(10,15-3)2-14-16(11,12)13/h3-5,7-10H,1-2H2,(H2,11,12,13)/t3-,4-,5+,6-/m1/s1","C([C@@H]1[C@H]([C@@H]([C@](O1)(COP(=O)(O)O)O)O)O)O","RHKKZBWRNHGJEZ-ARQDHWQXSA-N","[(2R,3S,4S,5R)-2,3,4-trihydroxy-5-(hydroxymethyl)oxolan-2-yl]methyl dihydrogen phosphate","","Biological Test Results|Biomolecular Interactions and Pathways|Chemical and Physical Properties|Classification|Literature|Names and Identifiers|Patents|Pharmacology and Biochemistry",8,"30432",20061025,"BioCyc|ChEBI|ChEMBL|ChemIDplus|ChemMol|ChemSpider|DiscoveryGate|ECI Group, LCSB, University of Luxembourg|Egon Willighagen (Dept. of Bioinformatics - BiGCaT, Maastricht University)|EPA DSSTox|GlyTouCan Project|Google Patents|Human Metabolome Database (HMDB)|Japan Chemical Substance Dictionary (Nikkaji)|MetabolomicsWorkbench|NCBI Structure|NextBio|NORMAN Suspect List Exchange|Protein Data Bank in Europe (PDBe)|Shanghai Institute of Organic Chemistry|Springer Nature|THE BioTek|Thomson Pharma|ToxPlanet|Wikidata|ZINC","Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|NIH Initiatives|Research and Development|Subscription Services",""
527499,"D-Fructose, pentakis-TMS ether","Fructose, (5TMS)|D-Fructose, penta-TMS|D-Fructose, 1,3,4,5,6-pentakis-O-(trimethylsilyl)-|D-Fructose, 5TMS derivative|D-Fructose, pentakis-TMS ether|Fructose, acyclic, pentakis-TMS|1,3,4,5,6-Pentakis-O-(trimethylsilyl)fructose, (D)-",541.100,"C21H52O6Si5",63.200,582.000,"",32,0,6,15,"InChI=1S/C21H52O6Si5/c1-28(2,3)23-16-18(22)20(26-31(10,11)12)21(27-32(13,14)15)19(25-30(7,8)9)17-24-29(4,5)6/h19-21H,16-17H2,1-15H3/t19-,20-,21-/m0/s1","C[Si](C)(C)OC[C@@H]([C@@H]([C@H](C(=O)CO[Si](C)(C)C)O[Si](C)(C)C)O[Si](C)(C)C)O[Si](C)(C)C","LDUCAYFXHYLHLP-ACRUOGEOSA-N","(3R,4S,5S)-1,3,4,5,6-pentakis(trimethylsilyloxy)hexan-2-one","","Chemical and Physical Properties",1,"",20050327,"NIST Mass Spectrometry Data Center","Governmental Organizations",""
3084114,"Ferric fructose","Fructosa ferrica|Fructose ferrique|Fructosum ferricum|Fructosa ferrica [Spanish]|Fructose ferrique [French]|Fructosum ferricum [Latin]|Ferric fructose [USAN:INN]|Fructosa ferrica [INN-Spanish]|Fructose ferrique [INN-French]|Fructosum ferricum [INN-Latin]|EINECS 235-559-1|CB 302|12286-76-9|Fructose iron complex, compound with potassium (2:1)|D-Fructose, iron(3+)-contg. complex, potassium salt (2:1)",275.100,"C6H12FeKO6+4",110.000,162.000,"",14,5,6,1,"InChI=1S/C6H12O6.Fe.K/c7-2-6(11)5(10)4(9)3(8)1-12-6;;/h3-5,7-11H,1-2H2;;/q;+3;+1/t3-,4-,5+,6+;;/m1../s1","C1[C@H]([C@H]([C@@H]([C@@](O1)(CO)O)O)O)O.[K+].[Fe+3]","SPNHUEKXVKBAQQ-WMUOJARJSA-N","potassium;(2S,3S,4R,5R)-2-(hydroxymethyl)oxane-2,3,4,5-tetrol;iron(3+)","","Classification|Names and Identifiers",2,"",20050809,"ABI Chem|ChemIDplus|ChemSpider|MuseChem|NextBio|NovoSeek|Thomson Pharma|ToxPlanet","Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|Research and Development|Subscription Services",""
440641,"beta-D-Fructose 6-phosphate","beta-D-Fructose 6-phosphate|beta-D-fructofuranose 6-phosphate|6-O-phosphono-beta-D-fructofuranose|CHEBI:16084|1mto|F6P|SCHEMBL8056|CHEMBL604196|DTXSID90889361|ZINC4096690|beta-D-Fructofuranose 6-phosphoric acid|beta-D-fructofuranose 6-(dihydrogen phosphate)|C05345|Q27098371|{[(2R,3S,4S,5R)-3,4,5-trihydroxy-5-(hydroxymethyl)oxolan-2-yl]methoxy}phosphonic acid|FRUCTOSE-6-PHOSPHATE; 6-O-phosphono-beta-D-fructose; 6-O-phosphono-D-fructose; 6-O-phosphono-fructose",260.140,"C6H13O9P",157.000,290.000,-3.900,16,6,9,4,"InChI=1S/C6H13O9P/c7-2-6(10)5(9)4(8)3(15-6)1-14-16(11,12)13/h3-5,7-10H,1-2H2,(H2,11,12,13)/t3-,4-,5+,6-/m1/s1","C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O","BGWGXPAPYGQALX-ARQDHWQXSA-N","[(2R,3S,4S,5R)-3,4,5-trihydroxy-5-(hydroxymethyl)oxolan-2-yl]methyl dihydrogen phosphate","","Biological Test Results|Biomolecular Interactions and Pathways|Chemical and Physical Properties|Classification|Literature|Names and Identifiers|Patents|Pharmacology and Biochemistry|Use and Manufacturing|Biological Test Results: Active|Biological Test Results: Micromolar",11,"1811,30430,30432,227718,977610",20040916,"ABI Chem|Ambinter|Aurora Fine Chemicals LLC|BioCyc|CCSbase|ChEBI|Chem-Space.com Database|Chembase.cn|ChEMBL|ChemIDplus|Chemieliva Pharmaceutical Co., Ltd|ChemMol|ChemSpider|Collaborative Drug Discovery, Inc.|DiscoveryGate|ECI Group, LCSB, University of Luxembourg|Egon Willighagen (Dept. of Bioinformatics - BiGCaT, Maastricht University)|EPA DSSTox|GlyTouCan Project|Google Patents|Human Metabolome Database (HMDB)|IBM|Japan Chemical Substance Dictionary (Nikkaji)|KEGG|MassBank Europe|MassBank of North America (MoNA)|MetabolomicsWorkbench|MolPort|MuseChem|NCBI Structure|NextBio|NORMAN Suspect List Exchange|PATENTSCOPE (WIPO)|Prof. Malboobi, Plant Biotechnology Lab, National Institute of Genetic Engineering and Biotechnology|Protein Data Bank in Europe (PDBe)|Shanghai Institute of Organic Chemistry|Sigma-Aldrich|SMID|Springer Nature|SureChEMBL|Thomson Pharma|ToxPlanet|Wikidata|WikiPathways|ZINC","Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|NIH Initiatives|Research and Development|Subscription Services",""
71306746,"D-Fructose 1,6-bisphosphate trisodium salt","D-Fructose 1,6-bisphosphate trisodium salt|38099-82-0|D-Fructose-1,6-diphosphate trisodium salt octahydrate|81028-91-3|C6H11Na3O12P2.8H2O|trisodium D-fructose-1,6-diphosphate|fructose 1,6-bisphosphate trisodium salt|AS-12332|D-Fructose-1,6-bisphosphate trisodium salt",406.060,"C6H11Na3O12P2",220.000,396.000,"",23,4,12,8,"InChI=1S/C6H14O12P2.3Na/c7-3(1-17-19(11,12)13)5(9)6(10)4(8)2-18-20(14,15)16;;;/h3,5-7,9-10H,1-2H2,(H2,11,12,13)(H2,14,15,16);;;/q;3*+1/p-3/t3-,5-,6-;;;/m1.../s1","C([C@H]([C@H]([C@@H](C(=O)COP(=O)([O-])[O-])O)O)O)OP(=O)(O)[O-].[Na+].[Na+].[Na+]","CEHGLSKJDFICTB-PWVOXRODSA-K","trisodium;[(3S,4R,5R)-3,4,5-trihydroxy-6-[hydroxy(oxido)phosphoryl]oxy-2-oxohexyl] phosphate","","Literature|Names and Identifiers|Patents|Use and Manufacturing",4,"",20130509,"AHH Chemical co.,ltd|AK Scientific, Inc. (AKSCI)|Alichem|Ambinter|Aurora Fine Chemicals LLC|BLD Pharm|Chem-Space.com Database|eNovation Chemicals|Hairui Chemical|Key Organics/BIONET|Molepedia|MolPort|NextMove Software|PATENTSCOPE (WIPO)|Springer Nature|Yuhao Chemical","Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|Research and Development",""
